Designator,Mid X,Mid Y,Layer,Rotation
BATT1,69.64, 4.94,Bottom,90.0
BOOT,28.31, 7.91,Bottom,90.0
C1,45.76,26.90,Bottom,0.0
C2,45.76,29.18,Bottom,0.0
C3, 4.70,32.61,Bottom,0.0
C4,24.46, 5.87,Bottom,90.0
C5,24.46, 9.08,Bottom,90.0
D1,42.67,24.03,Bottom,270.0
D2,42.77,30.00,Bottom,270.0
GND6,69.65, 9.09,Bottom,90.0
GND9,69.63,11.67,Bottom,90.0
HC2,46.52, 6.17,Bottom,90.0
HC3,30.19,16.23,Bottom,90.0
IC3,18.22, 7.29,Bottom,270.0
LED20, 9.41, 4.13,Bottom,270.0
MOTOR1,69.64,15.49,Bottom,90.0
Q1,36.03,16.81,Bottom,90.0
Q2,36.02,22.09,Bottom,180.0
R1,36.66,26.14,Bottom,0.0
R2,36.51,10.73,Bottom,180.0
R3,36.55,13.09,Bottom,0.0
R4,36.61,28.65,Bottom,0.0
R5,31.19,21.74,Bottom,0.0
R6,30.38,13.69,Bottom,0.0
R7,45.76,24.66,Bottom,0.0
R8,45.77,22.43,Bottom,180.0
R11,42.81, 8.62,Bottom,0.0
R12,42.81, 6.06,Bottom,180.0
R13,46.44, 8.64,Bottom,180.0
R15,31.50, 9.79,Bottom,90.0
R16,35.10,32.74,Bottom,0.0
R17,31.17,19.10,Bottom,180.0
R18,12.59, 4.93,Bottom,90.0
RESET,30.76,30.33,Bottom,90.0
U$2,43.65,16.08,Bottom,180.0
U1,14.07,21.95,Bottom,270.0
